title,address,city,state,zipcode,phone,type
COST PLUS #235,2534 BERRY HILL ROAD,MONTGOMERY,AL,36117,0,Package
COST PLUS WORLD MARKET #264,10200 EASTERN SHORE BLVD. SUITE 160,SPANISH FORT,AL,36527,0,Package
DIXIE FISH COMPANY,101-RESOURCE DRIVE,BIRMINGHAM,AL,35244,0,Package
LIQUOR EXPRESS,1802 UNIVERSITY DRIVE,HUNTSVILLE,AL,35801,0,Package
COST PLUS WORLD MARKET #222,4381-CREEKSIDE AVENUE,HOOVER,AL,35244,0,Package
THE FRESH MARKET #000083,4800-WHITESBURG DRIVE,HUNTSVILLE,AL,35802,0,Package
COST PLUS WORLD MARKET #175,4608-HIGHWAY 280,BIRMINGHAM,AL,35242,0,Package
CRAZY CAJUN,125 INVERNESS PLAZA,HOOVER,AL,35242,0,Package
THE FRESH MARKET #151,6900-US HIGHWAY 90  SUITE 2,DAPHNE,AL,36526,0,Package
MELLOW MUSHROOM,1110-NO.BOLL WEEVIL CIRCLE-STE A&B,ENTERPRISE,AL,36330,0,Package
O. K. BICYCLE SHOP,661 DAUPHIN STREET,MOBILE,AL,36602,0,Package
PUBLIX #1228,2451 COBBS FORD RD,PRATTVILLE,AL,36066,0,Package
ALEXANDRIA PACKAGE STORE,81-BIG VALLEY DRIVE  SUITE D,ALEXANDRIA,AL,36250,0,Package
AAFES MINI MALL  BLDG.6600,DUST OFF & ANDREWS ROAD,FT. RUCKER,AL,36362,0,Package
PUBLIX #1391,2040-MARTIN STREET  PELL CITY,PELL CITY,AL,35128,0,Package
COUNTY LINE C STORE,315-CANE CREEK ROAD,WARRIOR,AL,35180,0,Package
LEGENDS SPORTS CAFE LLC,207 E BOARD STREET,EUFAULA,AL,36027,0,Package
VOWELL'S FRESH MARKET,625-HIGHWAY 80 EAST  DEMOPOLIS,DEMOPOLIS,AL,36732,0,Package
MOODY LIQUORS,2616-MOODY PARKWAY  MOODY,MOODY,AL,35004,0,Package
COTTAGE HILL PACKAGE STORE,6376 COTTAGE HILL ROAD,MOBILE,AL,36695,0,Package
DEEP COUNTRY GROCERY,3118-HIGHWAY 52 WEST,PELHAM,AL,35124,0,Package
SATSUMA CHEVRON,6105-HIGHWAY 43,SATSUMA,AL,36525,0,Package
TARGET # 1376,790 SCHILLINGER ROAD,MOBILE,AL,36608,0,Package
TIM'S CAJUN KITCHEN,114-JORDAN LANE,HUNTSVILLE,AL,35810,0,Package
BRUNO'S # 84,2001 MCFARLAND BLVD,TUSCALOOSA,AL,35401,0,Package
PUBLIX #1026,7700 VAUGHN ROAD,MONTGOMERY,AL,36116,0,Package
