title,address,city,state,zipcode,phone,type
FLEET ST PUB,207 PRINTERS ALLEY #101,NASHVILLE,TN,372010000,6152000728,Draft
THREE LIONS,2239 E COLFAX,DENVER,CO,80206,7209361018,Draft
BRITISH BEER COMPANY,1071 SOUTH WILLOW STREET,MANCHESTER,NH,03103,6032320677,Draft
Superior Beverage,1070 Orchard Rd,Montgomery,IL,605380000,6308968668,Draft
MONTGOMERY CO D L C  #,16650 CRABBS BR,ROCKVILLE  MD,MD,20855,2171920,Draft
Elephant & Castle Adams,111 W Adams St,Chicago,IL,606030000,3122366656,Draft
BLUE ANCHOR,804 E ATLANTIC AVE,DELRAY BEACH,FL,33483,5612727272,Draft
Elephant & Castle Wabash,185 N Wabash Ave,Chicago,IL,606010000,3123451710,Draft
62 UNCLASSIFIED ACCOUNT,8000 Southpark Ter,Littleton,CO,80120,0,Draft
HUNGRY TOAD THE,2543 N. BROADWAY,BOULDER,CO,80301,3034470223,Draft
WISMER DISTRIBUTORS INC.,600 S. MAIN,BAYTOWN,TX,77520,7138694361,Draft
PUB TAMPA THE,2223 N WESTSHORE BLVD #B212,TAMPA,FL,33607,8134435642,Draft
PUB ORLANDO THE,9101 INTERNATIONAL DR #1003,ORLANDO,FL,32819,4073522305,Draft
SUPERIOR LIQUOR MARKET,100 SUPERIOR PLAZA WAY,SUPERIOR,CO,80027,3035546660,Draft
M'COULS PUBLIC HOUSE,110 WEST MCGEE ST,GREENSBORO,NC,28401,33637802040000000000,Draft
CHURCHILL'S PUBLIC HOUSE,1560 BOULDER ST,DENVER,CO,80211,0,Draft
RED LION,2316 S SHEPHERD,HOUSTON,TX,77019,7135290321,Draft
LIQ. BARN #903(BEAUMONT),921 BEAUMONT CENTER PKWY,LEXINGTON,KY,40503,0,Draft
UNIVERSAL STUDIOS FLORIDA,1000 UNIVERSAL STUDIO,ORLANDO,FL,32819,4073638000,Draft
SIDETRACK,56 E. CROSS,YPSILANTI,MI,48197,7344831035,Draft
THREE LIONS PUB,8115 161ST AVE NE,REDMOND,WA,98052,4252843399,Draft
UNION JACK'S,10400 LITTLE PATUXENT PKWY,COLUMBIA,MD,21044,4107405225,Draft
Elephant & Castle Huron,160 E Huron St,Chicago,IL,606110000,8772835110,Draft
THE PUB AT ROOKWOOD MEWS,2692 MADISON RD,NORWOOD,OH,45208,15137394439,Draft
YE OLDE BULL AND BUSH,2300 MONTGOMERY ST.,FORT WORTH,TX,76107,8177319206,Draft
BRITISH BULLDOG,2052 STOUT,DENVER,CO,80205,3032957974,Draft
FLYING SAUCER,0111 3RD ST. E.,FORT WORTH,TX,76012,8173360880,Draft
DUKE OF DEVON,739 RIVERFRONT DRIVE,SHEBOYGAN,WI,53081,9204587900,Draft
CAPE FEAR WINE AND BEER,139 NORTH FRONT STREET,WILMINGTON,NC,28401,91076333770000000000,Draft
IRISH ROVER,2319 FRANKFORT AVE.,LOUISVILLE,KY,40206,15028993544,Draft
TOTAL WINE-#604 WIN. SAL.,551 SOUTH STRATFORD ROAD,WINSTON SALEM,NC,27103,33624503880000000000,Draft
RICHMOND ARMS,5920 RICHMOND,HOUSTON,TX,77057,7137847722,Draft
HILL TOP ALE HOUSE,2129 QUEEN ANNE AVE N,SEATTLE,WA,98109,2062853877,Draft
BROADMOOR HOTEL INC,1 LAKE AVE.,COLO SPGS,CO,80901,7196347711,Draft
THE PUB POLARIS,1554 POLARIS PKY,COLUMBUS,OH,432404080,16147817829,Draft
PUB PEMBROKE (THE),237 SW 145 TERR,PEMBROKE PINES,FL,33027,9544304230,Draft
KUNDA BEVERAGE,349 S. HENDERSON ROAD,KING OF PRUSSIA,PA,19406,6102653113,Draft
THE PUB BEAVERCREEK,39 GREENE BLVD,BEAVERCREEK,OH,45440,9373201199,Draft
UNION JACK'S,2072 SOMERVILLE,ANNAPOLIS,MD,21401,4102665681,Draft
MY BROTHERS BAR,2376 15TH ST,DENVER,CO,80202,3034559991,Draft
STONEY'S PUB,3007 CONCORD PIKE,WILMINGTON,DE,19803,3024779740,Draft
THREE LIONS PUB  THE,23525 NE NOVELTY HILL RD,REDMOND,WA,98053,4258837511,Draft
LIQ. BARN #980 TOWN CTR,4301 TOWNE CENTER DR,LOUISVILLE,KY,41241,5024264222,Draft
PUB LEXINGTON (THE),3750 MALL ROAD,LEXINGTON,KY,40503,8599712748,Draft
THE VICTORIA FREEHOUSE,10 S. FRONT ST,PHILADELPHIA,PA,19102,2155436089,Draft
BESTWAY,2113 WALKER AVE,GREENSBORO,NC,27403,33627242640000000000,Draft
KINGSHEAD PUB,2692 N UNIVERSITY DR,SUNRISE,FL,33322,9545725933,Draft
JOE CANALS - MARLTON,305 N. ROUTE 73,MARLTON,NJ,08053,8569832222,Draft
TOTAL WINE-#606 CARY,333A CROSSROADS BLVD,CARY,NC,27511,91923533220000000000,Draft
WAYWOOD BEVERAGE,624 MILLERS HILL,KENNETT SQUARE,PA,19348,6104445222,Draft
FADO,1500 LOCUST AVE,PHILADELPHIA,PA,19102,2158939700,Draft
QUIPS PUB,457 NEW HOLLAND AVE,LANCASTER,PA,17602,7173973903,Draft
CANDLEWYCK INN,2543 DURHAM RD,BUCKINGHAM,PA,18912,2157948233,Draft
THREE LIONS PUB  THE,10111 MAIN ST,BOTHELL,WA,98011,2067559265,Draft
TOTAL WINE-#605 WOODLAWN,1600 EAST WOODLAWN AV,CHARLOTTE,NC,28209,70429592920000000000,Draft
THE QUEEN VIC,2710 RICHMOND AVE,HOUSTON,TX,77098,7136211114,Draft
TOTAL WINE-#610 DURHAM,3615 WITHERSPOON BLVD,DURHAM,NC,27707,91948950820000000000,Draft
