title,address,city,state,zipcode,phone,type
FRANKFORD HALL,1210-22 FRANKFORD AVE,PHILADELPHIA,PA,19125,2156343338,Draft
APPLEJACK LIQUORS,3320 YOUNGFIELD,WHEATRIDGE,CO,80033,3032333331,Draft
GASTHOF ZUR GEMUTLICHKEIT,2300 UNIVERSITY AVE NE,MINNEAPOLIS,MN,55418,6127813860,Draft
MONTGOMERY CO D L C  #,16650 CRABBS BR,ROCKVILLE  MD,MD,20855,2171920,Draft
BOHEMIAN BIERGARTEN,2017 13TH ST,BOULDER,CO,80302,0,Draft
ARGONAUT WINE & LIQUOR,700 E COLFAX,DENVER,CO,80203,3038317788,Draft
GASTHAUS BAVARIAN HUNTER,8390 LOFTON AVE NO,STILLWATER,MN,55082,6514309023,Draft
DELAWARE SAENGERBUND,49 SALEM CHURCH ROAD,NEWARK,DE,19713,3025478535,Draft
BRECKENRIDGE RESORT CHAMBER,311 S RIDGE ST,BRECKENRIDGE,CO,80424,9704532913,Draft
DAVIDSONS LIQUOR,5555 BOATWORKS DRIVE,HIGHLANDS RANCH,CO,80126,3032240444,Draft
SURDYK'S LIQUOR,303 EAST HENNEPIN AVE,MINNEAPOLIS,MN,55414,6123793232,Draft
LIQUOR MART,1750 15TH ST,BOULDER,CO,80302,3034493374,Draft
WESTMINSTER TOTAL BEV,9359 SHERIDAN BLVD,WESTMINSTER,CO,80031,3034264800,Draft
TOTAL BEVERAGE #205,1451 CHAIN BRIDGE RD,MC LEAN,VA,221013722,7037490011,Draft
TOTAL BEVERAGE,770 EAST 104TH AVE,THORNTON,CO,80233,3032803800,Draft
62 UNCLASSIFIED ACCOUNT,8000 Southpark Ter,Littleton,CO,80120,0,Draft
PARKER PAYLESS LIQUORS,9749 S. PARKER RD.,PARKER,CO,80134,3038413333,Draft
DAVECO,16434 N. WASHINGTON ST,THORNTON,CO,80020,3039513823,Draft
BUBBLES LIQUOR MART,675 GENOA WAY,CASTLE ROCK,CO,80104,3034688100,Draft
CORRIDOR FINE WINES,3321 LAU FT MEA,LAUREL,MD,20724,3016178507,Draft
BELTWAY WINE & SPIRITS,8727 LOCH RAVEN,BALTIMORE,MD,21286,6688884,Draft
CHAMBERS WINES & LIQUORS,15260 E ILIFF AVE,AURORA,CO,80014,3037516935,Draft
SPEC'S LIQUOR #00,2410 SMITH,HOUSTON,TX,77006,7135268787,Draft
TOTAL BEVERAGE #203,6240 LITTLE RIVER TPKE,ALEXANDRIA,VA,223121714,7039411133,Draft
DUTCHMAN'S BRAUHAUS,N/S BAY AVE CEDAR BONNETT,MANAHAWKIN,NJ,08050,16094948197,Draft
BIERGARTEN HAUS,1355 H STREET NE,WASHINGTON,DC,20002,3884053,Draft
